Florida District Number,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Grade 2022,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Charter School,Title I,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students,Mathematics Achievement
3.0,36.0,56.0,39.0,42.0,33.0,39.0,2,3,4,3,3,0,1,1,63.4,100.0,23.0
3.0,54.0,61.0,58.0,85.0,76.0,55.0,5,3,4,4,3,0,1,1,9.6,86.1,60.0
3.0,41.0,54.0,38.0,42.0,21.0,41.0,2,3,2,3,3,0,1,1,11.9,100.0,40.0
3.0,55.0,66.0,56.0,76.0,53.0,43.0,4,4,5,3,3,0,1,1,25.3,82.8,57.0
3.0,49.0,48.0,37.0,54.0,51.0,46.0,3,4,4,4,4,0,0,2,39.1,76.7,48.0
3.0,26.0,33.0,31.0,30.0,37.0,32.0,2,3,3,3,3,0,1,4,59.0,100.0,18.0
3.0,54.0,60.0,46.0,41.0,23.0,41.0,3,3,3,3,3,0,0,1,21.2,71.7,50.0
3.0,54.0,64.0,76.0,56.0,50.0,55.0,4,4,3,3,3,0,1,1,49.4,100.0,51.0
3.0,54.0,49.0,34.0,49.0,39.0,66.0,4,5,4,4,4,0,0,3,24.7,49.3,47.0
3.0,67.0,66.0,64.0,69.0,62.0,67.0,5,5,4,5,5,0,0,4,43.4,36.19999999999999,73.0
3.0,53.0,55.0,43.0,58.0,50.0,49.0,3,4,4,4,4,0,1,1,23.0,84.1,49.0
3.0,70.0,68.0,60.0,62.0,51.0,62.0,5,5,5,4,5,0,0,1,27.0,56.7,69.0
3.0,54.0,45.0,40.0,63.0,62.0,62.0,5,5,5,4,3,0,0,4,10.1,72.89999999999998,62.0
3.0,53.0,48.0,31.0,54.0,44.0,64.0,4,4,5,4,3,0,0,3,26.9,48.1,49.0
3.0,59.0,61.0,51.0,62.0,49.0,67.0,5,5,4,5,5,0,0,4,29.0,61.4,68.0
3.0,71.0,58.0,46.0,64.0,46.0,61.0,4,5,5,5,5,1,0,1,27.6,47.4,75.0
3.0,66.0,58.0,54.0,65.0,60.0,60.0,5,5,5,5,5,1,0,2,30.4,45.0,77.0
3.0,65.0,53.0,44.0,74.0,65.0,69.0,5,5,5,5,4,1,0,2,25.5,42.0,80.0
3.0,65.0,62.0,52.0,83.0,90.0,79.0,5,5,5,5,5,1,0,3,25.8,31.7,91.0
3.0,71.0,71.0,62.0,72.0,55.0,59.0,5,5,4,5,4,1,0,1,25.3,46.80000000000001,76.0
3.0,50.0,50.0,44.0,47.0,41.0,55.0,3,3,3,3,3,1,1,4,46.4,90.4,50.0
3.0,65.0,64.0,60.0,67.0,53.0,61.0,5,3,4,5,5,1,1,1,49.8,100.0,74.0
3.0,68.0,59.0,68.0,55.0,38.0,57.0,5,5,5,5,5,1,0,4,42.7,64.0,68.0
3.0,89.0,68.0,64.0,79.0,80.0,81.0,5,5,5,5,5,1,0,4,20.3,18.4,92.0
2.0,36.0,45.0,42.0,31.0,35.0,45.0,3,4,4,3,2,0,0,3,32.9,79.9,28.0
2.0,51.0,56.0,59.0,63.0,67.0,58.0,4,3,3,3,3,0,1,1,32.9,100.0,53.0
2.0,37.0,44.0,45.0,56.0,38.0,23.0,2,3,3,3,3,0,1,1,41.6,100.0,37.0
2.0,52.0,38.0,21.0,52.0,25.0,35.0,2,3,4,3,3,0,1,1,18.6,95.3,58.0
2.0,37.0,38.0,32.0,45.0,44.0,34.0,3,3,3,3,3,0,0,2,33.1,100.0,44.0
5.0,52.0,46.0,31.0,44.0,50.0,63.0,4,4,4,4,4,0,0,3,41.3,54.3,36.0
5.0,37.0,46.0,33.0,52.0,45.0,38.0,3,3,3,3,3,0,1,1,45.0,100.0,33.0
5.0,38.0,36.0,29.0,41.0,37.0,29.0,3,3,3,3,3,0,0,2,36.1,71.6,40.0
5.0,47.0,52.0,33.0,48.0,44.0,25.0,3,4,4,4,4,0,1,1,49.3,100.0,40.0
5.0,50.0,62.0,57.0,69.0,58.0,41.0,4,3,3,2,3,0,1,1,45.7,100.0,50.0
5.0,46.0,64.0,55.0,62.0,43.0,25.0,3,3,3,2,3,0,1,1,42.5,100.0,46.0
5.0,78.0,73.0,60.0,63.0,49.0,82.0,5,5,5,5,5,0,0,1,17.4,35.6,76.0
5.0,43.0,40.0,31.0,39.0,33.0,50.0,3,5,4,5,4,0,0,2,44.8,69.5,41.0
5.0,52.0,58.0,43.0,57.0,53.0,32.0,3,4,3,3,4,0,1,1,47.3,89.0,49.0
5.0,37.0,41.0,37.0,48.0,45.0,51.0,3,3,3,3,3,0,0,3,33.1,56.6,32.0
5.0,61.0,63.0,46.0,71.0,49.0,61.0,4,5,4,5,5,0,1,1,14.5,80.80000000000001,67.0
5.0,59.0,58.0,53.0,47.0,30.0,58.0,3,4,4,5,5,0,1,1,28.9,65.0,57.0
5.0,62.0,69.0,63.0,74.0,65.0,55.0,5,4,4,3,4,0,1,1,25.3,83.89999999999998,63.0
5.0,70.0,68.0,63.0,77.0,78.0,51.0,5,5,4,4,4,0,0,1,22.5,54.4,72.0
5.0,46.0,46.0,35.0,52.0,46.0,55.0,4,4,4,4,4,0,0,4,27.1,55.4,50.0
5.0,51.0,52.0,39.0,31.0,30.0,57.0,3,4,4,4,4,0,0,3,52.4,52.2,28.0
5.0,38.0,55.0,40.0,59.0,45.0,67.0,3,3,3,3,3,0,1,1,79.8,100.0,46.0
5.0,23.0,44.0,58.0,46.0,53.0,16.0,2,3,2,2,2,0,1,1,88.9,100.0,21.0
5.0,44.0,59.0,56.0,52.0,46.0,41.0,3,3,2,2,3,0,1,1,74.0,100.0,41.0
5.0,44.0,44.0,37.0,59.0,55.0,45.0,4,3,5,4,4,0,0,2,63.7,60.2,53.0
5.0,32.0,42.0,32.0,55.0,51.0,41.0,3,3,3,3,3,0,1,1,26.6,100.0,35.0
5.0,56.0,42.0,28.0,59.0,41.0,58.0,4,5,4,5,5,0,0,2,38.6,44.4,63.0
5.0,32.0,39.0,31.0,36.0,50.0,32.0,3,3,3,3,3,0,1,4,64.4,80.4,26.0
5.0,37.0,48.0,47.0,59.0,55.0,38.0,3,3,3,4,4,0,1,1,64.6,100.0,36.0
5.0,51.0,57.0,54.0,53.0,52.0,35.0,3,3,4,4,4,0,0,1,45.8,61.5,56.0
5.0,62.0,66.0,42.0,70.0,48.0,57.0,4,4,5,4,5,0,0,1,38.1,37.1,62.0
5.0,86.0,78.0,69.0,85.0,77.0,82.0,5,5,5,5,5,0,0,1,27.3,19.2,89.0
5.0,69.0,61.0,48.0,58.0,50.0,78.0,5,5,5,5,5,0,0,3,30.6,17.2,63.0
5.0,61.0,57.0,45.0,44.0,44.0,73.0,4,5,5,5,4,0,0,3,31.0,33.30000000000001,39.0
5.0,36.0,44.0,30.0,42.0,51.0,46.0,3,3,3,3,3,0,0,3,63.0,71.89999999999998,25.0
5.0,64.0,62.0,49.0,52.0,42.0,62.0,4,5,4,5,4,0,0,1,38.8,43.4,58.0
5.0,85.0,82.0,69.0,73.0,59.0,86.0,5,5,5,5,5,0,0,1,39.2,23.400000000000006,85.0
5.0,40.0,51.0,39.0,57.0,54.0,34.0,3,3,3,2,3,0,1,1,60.2,100.0,41.0
5.0,58.0,59.0,43.0,67.0,58.0,55.0,4,4,3,3,3,0,1,1,52.2,100.0,56.0
5.0,35.0,36.0,32.0,43.0,45.0,36.0,3,3,3,3,3,0,1,2,61.9,80.9,37.0
5.0,33.0,55.0,52.0,54.0,50.0,21.0,3,3,3,2,2,0,1,1,58.5,100.0,40.0
5.0,56.0,64.0,49.0,59.0,51.0,42.0,3,4,3,4,4,0,0,1,44.5,62.3,46.0
5.0,42.0,53.0,47.0,55.0,36.0,56.0,3,3,3,3,3,0,1,1,64.9,97.8,42.0
5.0,40.0,35.0,30.0,43.0,39.0,35.0,3,4,3,3,3,0,0,2,52.7,66.3,41.0
5.0,49.0,56.0,48.0,46.0,41.0,57.0,3,4,2,3,3,0,1,1,56.7,100.0,43.0
5.0,54.0,60.0,51.0,60.0,47.0,47.0,3,3,3,3,3,0,1,1,59.7,100.0,49.0
5.0,60.0,59.0,46.0,56.0,46.0,55.0,4,4,3,3,3,0,1,1,52.8,95.5,59.0
5.0,46.0,55.0,41.0,52.0,36.0,52.0,3,4,3,4,4,0,1,1,66.0,100.0,49.0
5.0,52.0,67.0,67.0,68.0,67.0,39.0,4,3,3,3,3,0,1,1,58.0,100.0,58.0
5.0,46.0,49.0,37.0,34.0,41.0,58.0,3,4,4,3,4,0,0,3,48.3,56.3,26.0
5.0,62.0,71.0,63.0,69.0,52.0,52.0,4,5,4,4,4,0,1,1,44.0,62.5,55.0
5.0,56.0,62.0,49.0,65.0,56.0,53.0,4,4,4,4,4,0,1,1,35.2,61.0,55.0
5.0,43.0,49.0,45.0,41.0,47.0,59.0,3,4,4,4,4,0,0,3,60.6,62.8,32.0
5.0,44.0,49.0,40.0,35.0,47.0,52.0,3,4,3,4,3,0,0,3,39.8,56.8,21.0
5.0,51.0,41.0,33.0,47.0,43.0,53.0,3,4,4,4,3,0,0,2,43.8,57.49999999999999,52.0
5.0,49.0,46.0,35.0,45.0,31.0,42.0,3,4,3,4,3,0,0,2,44.2,63.8,48.0
5.0,57.0,61.0,55.0,68.0,53.0,47.0,4,4,4,4,3,0,1,1,40.7,72.5,61.0
5.0,55.0,64.0,59.0,56.0,52.0,38.0,4,4,3,4,3,0,1,1,40.4,100.0,58.0
5.0,38.0,50.0,34.0,51.0,48.0,36.0,3,3,3,4,4,0,1,1,47.1,99.2,42.0
5.0,58.0,51.0,43.0,41.0,27.0,39.0,3,3,3,4,3,0,1,1,41.6,96.8,56.0
5.0,61.0,58.0,44.0,65.0,48.0,47.0,4,5,3,5,5,0,1,1,37.1,62.2,64.0
5.0,81.0,74.0,60.0,81.0,67.0,88.0,5,5,5,5,5,0,0,1,24.7,25.7,84.0
5.0,79.0,71.0,60.0,70.0,61.0,63.0,5,5,5,5,5,0,0,1,26.3,27.0,78.0
5.0,96.0,75.0,77.0,84.0,88.0,92.0,5,5,5,5,5,0,0,4,31.2,14.6,98.0
5.0,75.0,67.0,50.0,74.0,55.0,65.0,5,5,5,5,5,0,0,1,28.4,19.6,77.0
5.0,85.0,73.0,78.0,73.0,67.0,93.0,5,5,5,5,5,0,0,1,27.7,13.2,84.0
5.0,54.0,52.0,36.0,33.0,32.0,63.0,4,4,4,4,4,0,0,3,27.6,38.5,35.0
5.0,94.0,74.0,79.0,80.0,85.0,94.0,5,5,5,5,5,0,0,4,31.5,16.400000000000006,96.0
5.0,44.0,49.0,43.0,64.0,54.0,54.0,3,4,3,3,3,0,1,1,49.5,100.0,45.0
5.0,72.0,75.0,66.0,75.0,62.0,78.0,5,5,5,5,5,0,0,1,21.3,50.0,66.0
5.0,59.0,62.0,59.0,67.0,64.0,51.0,4,3,3,4,4,0,1,1,38.2,83.2,64.0
5.0,91.0,77.0,76.0,78.0,76.0,89.0,5,5,5,5,5,0,0,1,14.3,22.7,87.0
5.0,53.0,45.0,33.0,50.0,42.0,60.0,4,5,5,5,5,0,0,2,27.7,49.7,62.0
5.0,75.0,64.0,42.0,71.0,63.0,56.0,5,5,4,5,5,0,0,1,21.0,39.1,78.0
5.0,68.0,54.0,45.0,53.0,45.0,67.0,5,5,5,5,5,0,0,4,25.0,33.7,60.0
5.0,73.0,75.0,76.0,69.0,71.0,77.0,5,5,5,5,5,0,0,1,20.2,34.2,69.0
5.0,89.0,68.0,67.0,81.0,87.0,88.0,5,5,5,5,5,0,0,1,25.1,14.6,92.0
5.0,64.0,64.0,55.0,64.0,55.0,49.0,4,5,4,5,3,0,1,1,27.0,93.60000000000002,59.0
5.0,72.0,59.0,45.0,75.0,66.0,83.0,5,5,5,5,5,0,0,3,18.4,22.0,68.0
5.0,72.0,58.0,41.0,64.0,58.0,63.0,5,5,5,5,5,0,0,2,23.6,24.0,80.0
5.0,84.0,84.0,81.0,79.0,74.0,81.0,5,5,5,5,5,0,0,1,27.0,27.9,79.0
5.0,71.0,65.0,54.0,71.0,62.0,74.0,5,5,5,5,3,0,0,1,28.8,38.9,71.0
5.0,77.0,69.0,53.0,80.0,60.0,91.0,5,5,5,5,5,0,0,1,13.2,26.3,75.0
