Florida District Number,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Grade 2022,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Charter School,Title I,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students,Mathematics Achievement
6.0,41.0,56.0,38.0,58.0,38.0,34.0,3,3,3,3,3,0,1,1,99.5,95.0,50.0
6.0,49.0,61.0,55.0,63.0,51.0,33.0,3,4,4,3,2,0,1,1,97.7,85.3,51.0
6.0,29.0,54.0,51.0,58.0,51.0,17.0,3,3,4,4,3,0,1,1,99.4,83.0,36.0
6.0,74.0,66.0,60.0,71.0,68.0,54.0,5,5,5,5,5,0,0,4,94.6,64.9,68.0
6.0,68.0,71.0,48.0,71.0,66.0,51.0,5,4,4,4,3,0,1,1,99.0,80.10000000000002,70.0
6.0,69.0,69.0,63.0,53.0,45.0,39.0,4,5,5,5,5,0,1,1,99.2,86.9,60.0
6.0,73.0,81.0,65.0,70.0,58.0,80.0,5,5,5,5,5,0,1,1,98.5,87.6,71.0
6.0,53.0,71.0,70.0,81.0,77.0,42.0,5,5,5,4,3,0,1,1,98.9,89.2,48.0
6.0,38.0,70.0,50.0,70.0,64.0,28.0,3,3,3,4,3,0,1,1,99.5,91.7,39.0
6.0,58.0,50.0,42.0,52.0,50.0,52.0,3,5,3,3,3,0,1,1,98.9,91.8,53.0
6.0,70.0,74.0,53.0,82.0,65.0,79.0,5,5,5,5,4,0,1,1,100.0,82.1,77.0
6.0,52.0,74.0,85.0,65.0,69.0,55.0,5,3,3,2,4,0,1,1,100.0,93.5,61.0
6.0,52.0,68.0,61.0,64.0,59.0,58.0,4,4,4,3,3,0,1,1,98.7,90.60000000000002,60.0
6.0,79.0,69.0,59.0,78.0,91.0,47.0,5,4,5,5,5,1,0,1,94.8,36.8,92.0
6.0,40.0,49.0,45.0,57.0,54.0,33.0,3,3,3,3,3,0,1,4,96.9,93.8,43.0
6.0,76.0,65.0,51.0,75.0,63.0,71.0,5,5,5,5,5,1,0,4,98.8,75.8,76.0
6.0,56.0,61.0,47.0,66.0,61.0,45.0,4,5,4,4,4,0,1,4,93.3,78.60000000000002,53.0
6.0,39.0,49.0,45.0,64.0,68.0,35.0,3,3,3,2,3,1,1,2,95.7,82.39999999999998,46.0
6.0,52.0,64.0,45.0,83.0,68.0,55.0,5,4,4,3,3,1,1,4,98.3,94.69999999999999,71.0
6.0,83.0,65.0,58.0,81.0,69.0,66.0,5,5,5,5,5,1,0,4,86.7,29.4,77.0
6.0,84.0,70.0,63.0,63.0,52.0,51.0,5,3,5,5,5,1,0,4,97.5,55.50000000000001,65.0
6.0,78.0,43.0,62.0,44.0,62.0,55.0,4,5,4,4,4,1,1,1,98.3,88.0,71.0
6.0,66.0,73.0,65.0,67.0,58.0,52.0,5,4,4,4,3,0,1,1,99.4,91.5,66.0
6.0,82.0,76.0,72.0,77.0,88.0,74.0,5,5,5,5,5,1,0,4,84.2,59.6,83.0
6.0,70.0,73.0,69.0,93.0,94.0,67.0,5,5,5,5,5,1,1,4,81.4,94.3,91.0
6.0,67.0,68.0,62.0,77.0,77.0,55.0,5,5,5,5,5,1,0,1,97.5,54.4,75.0
6.0,27.0,41.0,32.0,62.0,75.0,20.0,3,4,3,3,4,1,1,4,100.0,90.9,24.0
6.0,22.0,48.0,57.0,46.0,61.0,16.0,3,3,3,3,2,1,1,4,99.1,91.60000000000002,21.0
6.0,46.0,55.0,36.0,59.0,56.0,23.0,3,4,5,3,3,0,1,1,94.4,79.10000000000002,31.0
6.0,68.0,71.0,76.0,79.0,69.0,79.0,5,5,5,4,2,1,1,4,96.2,94.39999999999998,79.0
6.0,71.0,78.0,68.0,76.0,69.0,63.0,5,5,4,4,4,1,1,1,96.0,97.39999999999998,73.0
6.0,66.0,63.0,55.0,69.0,56.0,47.0,5,5,5,5,5,1,0,4,96.1,67.10000000000002,63.0
6.0,69.0,68.0,55.0,78.0,69.0,48.0,5,5,5,5,5,1,0,4,84.8,77.10000000000002,70.0
6.0,81.0,71.0,58.0,66.0,58.0,64.0,5,5,5,5,5,1,0,4,98.3,62.0,73.0
6.0,59.0,68.0,62.0,85.0,81.0,54.0,5,5,5,5,5,0,1,4,99.5,83.5,64.0
6.0,73.0,75.0,61.0,72.0,70.0,60.0,5,5,5,5,4,0,1,1,97.4,78.7,75.0
6.0,83.0,78.0,78.0,68.0,44.0,61.0,5,5,5,5,5,1,0,1,95.3,17.1,79.0
6.0,65.0,81.0,77.0,80.0,62.0,46.0,5,3,4,4,1,0,1,1,99.0,95.0,73.0
6.0,66.0,57.0,45.0,57.0,60.0,56.0,4,5,4,5,4,0,0,1,64.1,57.6,69.0
6.0,63.0,67.0,53.0,67.0,62.0,54.0,5,5,5,5,5,0,0,4,95.1,50.1,60.0
6.0,67.0,73.0,67.0,84.0,86.0,67.0,5,5,4,4,4,0,0,1,93.6,75.5,74.0
6.0,85.0,78.0,71.0,70.0,61.0,60.0,5,5,5,5,5,0,1,1,97.9,77.9,80.0
6.0,40.0,57.0,56.0,59.0,60.0,40.0,4,3,3,3,3,0,1,4,99.1,94.8,32.0
6.0,54.0,66.0,55.0,78.0,60.0,54.0,5,4,5,3,3,0,1,1,99.1,92.60000000000002,64.0
6.0,72.0,66.0,49.0,74.0,68.0,58.0,5,5,5,5,4,0,0,4,93.0,65.5,65.0
6.0,60.0,71.0,65.0,73.0,59.0,45.0,5,4,5,4,4,0,1,1,95.3,87.7,64.0
6.0,66.0,65.0,52.0,59.0,54.0,54.0,4,5,5,5,5,0,0,4,85.4,57.9,61.0
6.0,85.0,73.0,48.0,84.0,81.0,77.0,5,5,5,5,5,0,0,1,93.3,55.9,88.0
6.0,71.0,72.0,66.0,73.0,69.0,55.0,5,5,5,5,4,0,1,1,99.5,76.4,73.0
6.0,58.0,60.0,53.0,53.0,35.0,54.0,3,4,3,5,3,1,1,1,99.1,95.39999999999998,57.0
6.0,94.0,86.0,85.0,86.0,86.0,92.0,5,5,5,5,5,0,0,1,75.8,15.6,90.0
6.0,38.0,53.0,50.0,53.0,50.0,26.0,3,4,3,3,2,1,1,1,100.0,96.2,40.0
6.0,73.0,66.0,47.0,77.0,62.0,59.0,5,5,4,5,5,0,1,1,96.0,75.4,68.0
6.0,61.0,67.0,63.0,77.0,68.0,60.0,5,4,4,3,3,0,1,1,99.6,88.4,70.0
6.0,66.0,72.0,62.0,72.0,79.0,59.0,5,4,5,4,4,0,1,1,96.9,79.80000000000001,71.0
6.0,58.0,62.0,56.0,77.0,66.0,56.0,5,4,4,3,3,0,1,1,85.8,81.10000000000002,63.0
6.0,53.0,61.0,33.0,51.0,31.0,46.0,3,3,4,3,3,0,1,1,96.2,80.80000000000001,57.0
6.0,44.0,61.0,54.0,51.0,57.0,38.0,3,3,5,3,4,0,1,1,95.5,87.6,38.0
6.0,58.0,58.0,44.0,62.0,67.0,43.0,4,5,4,5,4,0,1,1,99.6,77.7,48.0
6.0,75.0,77.0,50.0,82.0,73.0,70.0,5,5,4,5,3,0,1,1,98.7,72.0,77.0
6.0,83.0,70.0,63.0,74.0,57.0,72.0,5,5,5,5,5,0,0,4,84.5,39.2,76.0
6.0,63.0,64.0,65.0,67.0,60.0,62.0,5,5,5,5,4,0,1,1,99.8,92.10000000000002,67.0
6.0,23.0,44.0,42.0,65.0,62.0,28.0,3,3,4,2,2,0,1,4,99.1,97.8,35.0
6.0,92.0,70.0,70.0,86.0,79.0,90.0,5,5,5,5,5,0,0,4,75.1,31.5,91.0
6.0,25.0,46.0,51.0,50.0,50.0,41.0,3,3,3,3,2,0,1,4,98.9,90.9,25.0
6.0,42.0,53.0,49.0,62.0,66.0,38.0,4,3,3,3,3,0,1,4,99.6,93.60000000000002,42.0
6.0,30.0,52.0,60.0,67.0,70.0,16.0,3,4,3,4,3,0,1,1,98.5,93.7,42.0
6.0,68.0,63.0,55.0,73.0,68.0,56.0,5,4,5,4,3,0,0,1,83.5,61.9,66.0
6.0,69.0,63.0,47.0,69.0,63.0,61.0,5,5,5,5,5,0,0,4,96.6,69.3,72.0
6.0,38.0,76.0,80.0,73.0,74.0,11.0,4,3,4,4,3,0,1,1,99.1,98.9,37.0
6.0,63.0,67.0,62.0,59.0,45.0,61.0,4,4,3,4,3,0,1,1,94.2,80.10000000000002,59.0
6.0,47.0,67.0,60.0,68.0,77.0,35.0,4,3,3,3,5,0,1,1,96.5,93.4,43.0
6.0,87.0,70.0,67.0,80.0,74.0,77.0,5,5,5,5,5,0,0,2,92.5,63.3,85.0
6.0,66.0,61.0,61.0,78.0,83.0,42.0,5,5,5,5,5,1,0,2,98.0,75.2,68.0
6.0,92.0,82.0,77.0,85.0,73.0,92.0,5,5,5,5,5,1,0,2,92.5,52.7,90.0
6.0,21.0,43.0,32.0,59.0,71.0,19.0,3,3,2,3,3,0,1,2,99.2,89.60000000000002,29.0
6.0,59.0,57.0,44.0,78.0,75.0,45.0,5,5,5,5,5,1,1,2,99.4,87.2,66.0
6.0,55.0,50.0,46.0,61.0,66.0,45.0,4,5,5,4,3,1,1,2,89.0,81.0,59.0
6.0,54.0,51.0,48.0,60.0,59.0,45.0,4,5,4,5,3,1,1,2,99.0,93.4,52.0
6.0,42.0,50.0,44.0,68.0,68.0,48.0,4,3,2,3,3,1,1,2,98.5,94.3,50.0
6.0,68.0,56.0,54.0,41.0,29.0,44.0,3,3,3,3,2,1,0,4,92.4,44.2,37.0
6.0,75.0,64.0,53.0,78.0,66.0,62.0,5,5,5,5,5,0,0,2,92.7,66.0,76.0
6.0,69.0,56.0,45.0,73.0,75.0,54.0,5,5,5,5,4,1,0,2,96.4,69.69999999999999,69.0
6.0,38.0,53.0,55.0,41.0,56.0,22.0,3,3,3,3,3,0,1,2,99.2,93.10000000000002,18.0
6.0,42.0,49.0,34.0,55.0,68.0,24.0,3,3,3,3,3,1,1,2,96.7,93.5,25.0
6.0,56.0,59.0,47.0,74.0,62.0,57.0,5,5,5,5,5,1,0,4,95.7,47.0,62.0
6.0,85.0,67.0,68.0,79.0,84.0,76.0,5,5,5,5,5,1,0,2,96.7,53.5,91.0
6.0,22.0,45.0,44.0,56.0,62.0,23.0,3,3,2,2,1,0,1,2,99.2,87.4,25.0
6.0,68.0,54.0,44.0,63.0,66.0,66.0,5,5,5,5,5,1,0,2,92.9,70.39999999999998,67.0
6.0,63.0,51.0,33.0,65.0,62.0,53.0,4,5,5,5,4,1,1,2,98.1,77.9,66.0
6.0,42.0,56.0,57.0,84.0,79.0,38.0,5,2,5,5,5,1,1,2,99.0,95.0,52.0
6.0,60.0,56.0,49.0,72.0,65.0,48.0,5,5,5,5,5,1,0,4,92.5,65.2,65.0
6.0,48.0,54.0,45.0,49.0,40.0,37.0,3,4,4,3,3,0,1,2,98.6,79.4,40.0
6.0,85.0,68.0,73.0,79.0,85.0,64.0,5,5,5,5,5,1,0,2,80.7,60.4,88.0
6.0,57.0,56.0,49.0,58.0,55.0,49.0,4,4,4,4,4,1,1,2,93.0,84.89999999999998,52.0
6.0,59.0,61.0,55.0,70.0,61.0,47.0,5,5,5,4,5,1,1,2,99.1,95.8,56.0
6.0,26.0,34.0,25.0,52.0,70.0,31.0,3,4,3,3,2,1,1,2,98.4,97.5,23.0
6.0,35.0,51.0,48.0,66.0,67.0,42.0,3,3,3,3,1,0,1,2,98.9,95.3,37.0
6.0,83.0,65.0,60.0,74.0,70.0,78.0,5,5,5,5,4,0,0,4,96.2,56.89999999999999,82.0
6.0,89.0,70.0,69.0,80.0,85.0,89.0,5,5,5,5,5,1,0,2,95.1,23.799999999999997,93.0
6.0,92.0,73.0,75.0,73.0,78.0,85.0,5,5,5,5,5,0,0,2,75.3,28.7,92.0
6.0,82.0,66.0,70.0,76.0,70.0,75.0,5,5,5,5,5,0,0,3,82.5,58.7,73.0
6.0,60.0,49.0,38.0,73.0,77.0,56.0,5,5,5,4,4,1,1,2,97.9,79.5,68.0
6.0,92.0,71.0,81.0,73.0,78.0,92.0,5,5,5,5,5,1,0,2,95.5,52.4,91.0
6.0,29.0,48.0,48.0,65.0,67.0,33.0,3,3,3,3,3,0,1,2,99.2,86.1,34.0
6.0,65.0,54.0,40.0,74.0,77.0,61.0,5,5,5,5,5,1,1,4,96.3,96.89999999999998,74.0
6.0,38.0,49.0,38.0,57.0,62.0,44.0,3,3,3,2,3,0,1,2,96.1,87.5,39.0
6.0,51.0,48.0,37.0,61.0,63.0,32.0,4,4,4,3,3,0,1,2,99.1,80.30000000000001,47.0
6.0,85.0,67.0,64.0,74.0,72.0,78.0,5,5,5,5,5,1,0,2,94.4,16.7,80.0
6.0,46.0,57.0,49.0,63.0,57.0,48.0,4,4,4,4,4,0,1,2,98.8,84.7,47.0
6.0,44.0,58.0,52.0,55.0,51.0,49.0,3,3,4,3,3,0,1,2,98.4,97.0,36.0
6.0,55.0,55.0,50.0,63.0,46.0,42.0,4,5,5,4,4,0,0,2,94.2,73.4,59.0
6.0,54.0,58.0,45.0,60.0,53.0,45.0,4,4,4,3,3,0,1,2,96.3,76.3,53.0
6.0,49.0,54.0,41.0,63.0,61.0,42.0,4,4,4,3,3,0,1,2,98.7,88.9,46.0
6.0,54.0,59.0,54.0,55.0,55.0,48.0,4,4,4,4,4,0,0,2,86.7,69.5,39.0
6.0,29.0,46.0,42.0,53.0,63.0,33.0,3,3,3,2,2,0,1,2,98.1,92.9,28.0
6.0,38.0,53.0,47.0,63.0,59.0,46.0,4,4,3,2,3,0,1,2,99.0,91.4,43.0
6.0,56.0,57.0,42.0,58.0,48.0,66.0,4,4,4,3,4,0,1,2,97.8,90.3,51.0
6.0,35.0,50.0,46.0,61.0,62.0,15.0,3,3,3,3,3,0,1,2,99.3,87.5,33.0
6.0,30.0,44.0,45.0,64.0,69.0,32.0,3,3,3,3,3,0,1,2,97.2,93.8,44.0
6.0,23.0,36.0,37.0,47.0,51.0,24.0,3,3,3,3,2,0,1,2,99.0,89.3,24.0
6.0,28.0,43.0,30.0,47.0,57.0,36.0,3,3,2,3,2,0,1,2,99.5,89.9,29.0
6.0,33.0,43.0,37.0,44.0,55.0,37.0,3,3,3,3,3,0,1,2,99.3,92.10000000000002,26.0
6.0,67.0,62.0,53.0,74.0,63.0,62.0,5,5,5,5,5,0,1,2,96.5,80.0,68.0
6.0,64.0,59.0,51.0,72.0,67.0,53.0,5,5,5,5,4,0,1,2,98.0,85.39999999999998,67.0
6.0,29.0,36.0,28.0,56.0,64.0,29.0,3,3,3,3,3,0,1,2,98.7,88.0,29.0
6.0,60.0,57.0,44.0,63.0,63.0,70.0,5,4,4,4,4,0,0,2,77.6,73.1,55.0
6.0,36.0,46.0,34.0,63.0,64.0,37.0,3,3,3,3,3,0,1,2,99.7,89.4,38.0
6.0,25.0,41.0,41.0,53.0,58.0,39.0,3,3,3,3,1,0,1,2,99.8,94.89999999999998,25.0
6.0,37.0,45.0,36.0,42.0,52.0,34.0,3,3,3,3,3,0,1,2,97.8,88.6,28.0
6.0,37.0,50.0,45.0,57.0,60.0,44.0,3,3,3,3,3,0,1,2,98.4,93.7,34.0
6.0,47.0,51.0,35.0,58.0,66.0,44.0,4,4,3,3,3,0,1,2,98.5,88.2,40.0
6.0,73.0,64.0,46.0,73.0,56.0,65.0,5,4,4,4,4,0,0,2,66.5,34.8,72.0
6.0,57.0,61.0,46.0,64.0,61.0,47.0,4,4,5,4,4,0,1,2,92.7,75.9,52.0
6.0,66.0,63.0,47.0,70.0,66.0,61.0,5,5,5,5,5,0,1,2,98.8,82.69999999999999,63.0
6.0,42.0,55.0,45.0,61.0,62.0,42.0,4,3,3,3,3,0,1,2,96.6,92.5,43.0
6.0,57.0,55.0,45.0,64.0,58.0,59.0,4,4,5,4,4,0,1,2,95.8,79.3,59.0
6.0,38.0,53.0,53.0,62.0,64.0,48.0,3,4,3,3,3,0,1,2,96.0,86.7,37.0
6.0,54.0,53.0,41.0,62.0,58.0,59.0,4,4,4,4,4,0,1,2,97.5,83.3,52.0
6.0,66.0,59.0,51.0,70.0,64.0,64.0,5,4,5,5,4,0,1,2,97.7,81.2,64.0
6.0,51.0,57.0,46.0,53.0,48.0,42.0,4,3,3,3,3,0,1,2,98.4,99.4,43.0
6.0,73.0,68.0,58.0,73.0,60.0,65.0,5,5,5,5,4,0,0,2,83.3,58.4,68.0
6.0,70.0,63.0,50.0,72.0,58.0,63.0,5,5,5,5,5,0,0,2,88.0,57.9,66.0
6.0,55.0,49.0,29.0,52.0,51.0,50.0,4,5,4,5,5,0,1,2,98.5,81.8,52.0
6.0,67.0,63.0,51.0,70.0,67.0,54.0,5,5,5,4,5,0,1,2,97.6,74.3,65.0
6.0,41.0,49.0,36.0,40.0,47.0,37.0,3,3,3,3,3,0,1,2,97.6,88.1,25.0
6.0,46.0,58.0,68.0,70.0,90.0,56.0,5,4,4,3,2,0,1,3,97.9,90.5,51.0
6.0,81.0,72.0,68.0,67.0,54.0,74.0,5,5,5,5,5,1,0,3,83.5,64.8,75.0
6.0,77.0,72.0,64.0,64.0,62.0,86.0,5,5,4,4,4,0,0,3,90.0,63.2,50.0
6.0,92.0,72.0,78.0,70.0,68.0,90.0,5,5,5,5,5,1,0,3,96.3,44.4,87.0
6.0,35.0,47.0,40.0,60.0,62.0,49.0,4,3,3,3,3,0,1,3,98.0,84.7,37.0
6.0,78.0,79.0,74.0,74.0,80.0,11.0,5,5,5,5,5,1,1,3,99.4,80.10000000000002,66.0
6.0,51.0,62.0,56.0,70.0,80.0,66.0,5,4,4,4,3,1,1,3,97.8,91.4,69.0
6.0,62.0,60.0,53.0,52.0,54.0,56.0,5,5,4,5,4,1,1,3,97.2,78.7,48.0
6.0,84.0,66.0,56.0,68.0,58.0,87.0,5,5,5,5,5,1,0,3,96.0,51.2,80.0
6.0,84.0,68.0,59.0,64.0,62.0,87.0,5,5,5,5,5,0,0,3,93.0,73.7,75.0
6.0,77.0,66.0,51.0,56.0,59.0,77.0,5,5,5,5,5,1,0,3,53.2,32.2,64.0
6.0,73.0,68.0,53.0,74.0,67.0,56.0,5,5,5,5,5,1,0,4,97.4,60.7,68.0
6.0,96.0,77.0,84.0,91.0,90.0,97.0,5,5,5,5,5,0,0,3,90.9,47.19999999999999,95.0
6.0,28.0,44.0,48.0,47.0,62.0,25.0,3,2,3,2,3,1,1,3,97.6,84.1,16.0
6.0,63.0,64.0,64.0,68.0,83.0,61.0,5,5,5,4,4,0,1,3,96.2,81.89999999999998,47.0
6.0,45.0,49.0,46.0,49.0,63.0,25.0,3,4,4,4,2,1,1,3,94.1,88.5,31.0
6.0,81.0,70.0,62.0,80.0,73.0,97.0,5,5,5,5,5,1,0,3,87.9,27.2,88.0
6.0,67.0,62.0,54.0,65.0,51.0,75.0,5,5,5,5,4,1,1,3,95.2,82.39999999999998,61.0
6.0,68.0,59.0,47.0,68.0,73.0,53.0,5,5,5,5,5,1,0,4,96.2,39.7,70.0
6.0,54.0,56.0,48.0,50.0,47.0,47.0,4,4,4,4,4,0,0,3,74.9,67.7,40.0
6.0,38.0,48.0,34.0,61.0,58.0,45.0,3,4,4,3,3,0,1,3,98.9,89.8,49.0
6.0,43.0,48.0,35.0,44.0,56.0,46.0,3,4,4,2,2,1,0,3,91.0,77.2,27.0
6.0,52.0,47.0,36.0,36.0,42.0,45.0,3,4,4,3,3,0,1,3,97.6,77.9,26.0
6.0,66.0,68.0,61.0,57.0,58.0,55.0,5,5,5,4,5,1,0,3,98.0,64.60000000000002,48.0
6.0,85.0,73.0,66.0,79.0,73.0,86.0,5,5,5,5,5,0,0,4,89.9,61.8,78.0
6.0,44.0,51.0,46.0,58.0,63.0,49.0,4,3,4,3,3,0,1,4,97.9,90.10000000000002,34.0
6.0,32.0,42.0,31.0,23.0,35.0,38.0,3,4,3,2,3,1,1,3,99.2,95.0,9.0
6.0,65.0,57.0,48.0,68.0,58.0,52.0,5,4,5,4,4,1,0,4,77.3,21.2,63.0
6.0,39.0,44.0,36.0,60.0,66.0,38.0,3,3,3,2,3,1,1,3,94.6,75.4,36.0
6.0,66.0,67.0,58.0,41.0,22.0,72.0,4,5,4,4,3,1,1,3,98.5,83.5,33.0
6.0,55.0,54.0,41.0,61.0,62.0,60.0,5,4,4,4,3,0,0,3,90.5,68.89999999999998,44.0
6.0,51.0,75.0,58.0,81.0,55.0,74.0,5,5,5,5,5,1,1,3,98.4,98.4,74.0
6.0,93.0,74.0,83.0,77.0,65.0,97.0,5,5,5,5,5,0,0,3,76.2,43.2,85.0
6.0,55.0,59.0,48.0,52.0,49.0,30.0,4,5,5,4,3,1,1,3,99.0,91.0,41.0
6.0,85.0,73.0,69.0,74.0,67.0,78.0,5,5,5,5,5,0,0,3,87.2,51.7,71.0
6.0,48.0,58.0,49.0,36.0,42.0,39.0,3,3,3,3,3,1,1,3,96.9,90.8,20.0
6.0,39.0,46.0,28.0,51.0,60.0,36.0,3,3,3,3,3,0,1,3,97.6,87.3,29.0
6.0,70.0,73.0,69.0,65.0,56.0,86.0,5,5,5,5,5,1,0,3,91.5,73.0,55.0
6.0,69.0,65.0,58.0,63.0,57.0,68.0,5,5,5,4,4,0,0,3,96.2,70.89999999999998,52.0
6.0,42.0,56.0,44.0,51.0,53.0,57.0,4,4,4,4,3,0,1,3,97.9,88.5,35.0
6.0,47.0,49.0,33.0,45.0,55.0,55.0,3,4,4,4,3,0,0,3,85.0,66.7,27.0
6.0,29.0,49.0,51.0,57.0,62.0,53.0,4,3,3,3,3,0,1,3,96.9,92.10000000000002,33.0
6.0,62.0,67.0,52.0,65.0,64.0,36.0,5,4,5,4,4,1,1,3,98.8,83.5,53.0
6.0,91.0,73.0,73.0,84.0,81.0,93.0,5,5,5,5,5,0,0,4,77.3,19.0,91.0
6.0,92.0,78.0,82.0,73.0,69.0,86.0,5,5,5,5,5,0,0,3,90.5,70.1,74.0
6.0,60.0,56.0,45.0,62.0,63.0,45.0,4,4,4,4,3,0,1,3,98.3,83.2,42.0
6.0,58.0,52.0,36.0,51.0,63.0,52.0,4,4,3,3,3,0,0,3,74.3,61.2,36.0
6.0,20.0,37.0,39.0,38.0,65.0,31.0,3,3,3,2,2,0,1,3,98.7,92.80000000000001,14.0
6.0,53.0,65.0,62.0,48.0,50.0,58.0,5,5,5,3,4,0,0,3,95.2,45.9,38.0
6.0,59.0,58.0,36.0,49.0,45.0,49.0,4,4,4,4,4,1,0,3,92.7,82.0,40.0
6.0,27.0,47.0,43.0,53.0,66.0,57.0,3,3,3,3,3,0,1,3,99.0,90.4,26.0
6.0,60.0,58.0,50.0,64.0,62.0,54.0,5,5,5,4,4,1,1,4,98.9,91.7,52.0
6.0,53.0,56.0,39.0,54.0,66.0,57.0,4,3,3,3,3,0,1,3,97.6,79.10000000000002,36.0
6.0,90.0,75.0,76.0,83.0,85.0,89.0,5,5,5,5,5,0,0,4,96.0,70.7,93.0
6.0,25.0,48.0,43.0,48.0,76.0,37.0,3,4,3,3,3,0,1,3,99.2,87.4,22.0
6.0,24.0,41.0,29.0,42.0,60.0,43.0,3,3,3,3,3,0,1,3,99.1,90.9,17.0
6.0,56.0,55.0,39.0,65.0,63.0,62.0,5,5,4,3,3,0,1,4,94.1,84.5,49.0
6.0,38.0,43.0,35.0,40.0,49.0,42.0,3,3,3,3,3,0,0,3,93.2,74.3,27.0
6.0,57.0,57.0,54.0,59.0,61.0,60.0,5,4,4,4,4,0,1,3,96.1,79.80000000000001,48.0
6.0,28.0,42.0,41.0,59.0,69.0,38.0,4,4,3,3,3,0,1,3,99.4,88.1,30.0
6.0,72.0,68.0,56.0,83.0,77.0,58.0,5,5,5,5,4,0,1,3,98.1,85.0,72.0
6.0,29.0,38.0,30.0,53.0,67.0,49.0,3,3,3,3,3,0,1,3,99.4,92.30000000000001,27.0
6.0,63.0,59.0,45.0,58.0,55.0,59.0,5,4,4,4,4,0,0,3,76.0,44.7,51.0
6.0,82.0,66.0,64.0,74.0,71.0,86.0,5,5,5,5,5,0,0,4,70.6,46.1,81.0
6.0,47.0,54.0,41.0,56.0,70.0,58.0,4,5,4,4,3,0,1,3,98.5,88.7,32.0
6.0,37.0,59.0,53.0,63.0,70.0,38.0,4,4,3,3,3,0,1,3,96.3,85.3,39.0
6.0,45.0,54.0,39.0,39.0,43.0,44.0,3,3,3,3,3,0,1,3,95.3,77.5,34.0
6.0,33.0,48.0,37.0,47.0,54.0,34.0,3,3,3,3,3,0,1,3,98.0,89.8,29.0
6.0,84.0,67.0,64.0,83.0,83.0,87.0,5,5,5,5,5,0,0,3,85.0,40.2,76.0
6.0,90.0,75.0,78.0,78.0,78.0,83.0,5,5,5,5,5,0,0,4,75.9,37.3,89.0
6.0,34.0,53.0,49.0,49.0,60.0,46.0,4,3,3,3,3,0,1,3,98.7,90.9,24.0
6.0,56.0,60.0,52.0,48.0,54.0,52.0,4,4,4,4,3,0,1,3,99.3,91.60000000000002,34.0
6.0,43.0,46.0,40.0,59.0,58.0,52.0,3,3,3,3,3,0,0,3,96.8,50.2,49.0
6.0,33.0,43.0,33.0,51.0,59.0,67.0,3,4,3,3,3,0,1,3,95.0,88.6,30.0
6.0,40.0,44.0,26.0,42.0,50.0,40.0,3,3,3,3,3,0,1,3,96.4,79.7,26.0
6.0,33.0,46.0,37.0,57.0,63.0,51.0,3,4,3,3,2,0,1,3,97.0,85.8,31.0
6.0,54.0,58.0,48.0,63.0,64.0,72.0,5,4,4,4,3,0,1,3,96.6,78.10000000000002,46.0
6.0,69.0,66.0,56.0,69.0,71.0,64.0,5,5,4,4,3,0,0,3,96.8,74.0,58.0
6.0,46.0,51.0,43.0,49.0,62.0,50.0,4,4,4,3,3,0,0,3,96.2,72.5,33.0
6.0,19.0,35.0,32.0,51.0,66.0,41.0,3,3,3,3,3,0,1,3,98.6,80.30000000000001,22.0
6.0,93.0,84.0,85.0,62.0,52.0,92.0,5,5,5,5,5,0,0,3,79.9,41.9,65.0
1.0,33.0,43.0,28.0,35.0,50.0,47.0,3,3,3,2,3,0,1,3,62.4,90.9,21.0
1.0,34.0,41.0,48.0,38.0,43.0,32.0,2,3,3,2,3,0,1,1,54.5,100.0,37.0
1.0,35.0,47.0,42.0,53.0,44.0,27.0,3,3,3,3,2,0,1,1,73.7,100.0,44.0
1.0,30.0,36.0,25.0,43.0,46.0,28.0,2,3,3,3,2,0,1,2,67.5,100.0,29.0
1.0,31.0,42.0,40.0,44.0,48.0,10.0,2,3,2,2,2,0,1,1,72.2,100.0,36.0
2.0,43.0,42.0,35.0,54.0,63.0,55.0,4,4,4,3,3,0,0,4,15.9,100.0,44.0
2.0,44.0,37.0,30.0,40.0,34.0,37.0,3,3,3,3,4,0,1,4,15.7,100.0,52.0
2.0,60.0,64.0,45.0,80.0,60.0,63.0,5,3,3,3,4,0,0,1,58.6,72.8,66.0
2.0,44.0,57.0,58.0,76.0,78.0,45.0,4,5,3,3,3,0,1,1,74.7,100.0,71.0
2.0,56.0,48.0,32.0,69.0,44.0,64.0,4,4,4,4,4,0,1,1,85.8,85.3,71.0
2.0,65.0,74.0,80.0,73.0,79.0,46.0,5,4,3,5,4,0,1,1,55.1,100.0,67.0
2.0,73.0,59.0,50.0,63.0,63.0,57.0,5,5,5,5,5,0,0,1,39.8,43.3,69.0
2.0,29.0,45.0,31.0,63.0,76.0,18.0,3,2,3,3,2,0,1,1,88.5,100.0,31.0
2.0,49.0,51.0,42.0,58.0,57.0,65.0,5,5,5,5,5,0,0,2,83.3,68.89999999999998,59.0
2.0,70.0,70.0,47.0,66.0,60.0,59.0,5,5,5,4,4,0,0,1,36.6,26.6,74.0
2.0,81.0,61.0,52.0,72.0,69.0,81.0,5,5,5,5,5,0,0,2,48.3,16.8,87.0
